"SKU_","Description","Price_EX","AvailableStock","Category_Code","Category_Description","Group","Brand"
"MC-ME30","MERCUSYS AC1200 DUAL BAND WIFI 6 RANGE E",514.2900,0.00,"NC","NETWORK DEVICES","EXTEND","MERCUSYS"
"MC-MER-AC12G","MERCUSYS AC1200 DUAL BAND WIRELESS ROUTE",640.6800,0.00,"MOD","MODEMS/ROUTERS","ROUTER","MERCUSYS"
"MC-MER-MS108G","MERCUSYS MS108 - 8-PORT GIGABIT",301.4300,0.00,"NC","NETWORK DEVICES","SWITCH","MERCUSYS"
"MC-MR30G","MERCUSYS AC1200 2-PORT WIRELESS DUAL BAN",591.4300,0.00,"MOD","MODEMS/ROUTERS","ROUTER","MERCUSYS"
"MC-MR70X","MERCUSYS AX1800 DUAL BAND WIFI 6 ROUTER",1188.2600,0.00,"MOD","MODEMS/ROUTERS","ROUTER","MERCUSYS"
"MC-MS105","MERCUSYS 5-PORT 10/100MBPS DESKTOP SWITC",119.4000,0.00,"NC","NETWORK DEVICES","SWITCH","MERCUSYS"
"MC-MS105G","MERCUSYS 5-PORT 10/100/1000MBPS DESKTOP",224.3500,0.00,"NC","NETWORK DEVICES","SWITCH","MERCUSYS"
"MC-MS108","MERCUSYS 8-PORT 10/100MBPS DESKTOP SWITC",141.8600,0.00,"NC","NETWORK DEVICES","SWITCH","MERCUSYS"
"MC-MS108G","MERCUSYS 8-PORT 10/100/1,000 MBPS DESKTO",315.3400,0.00,"NC","NETWORK DEVICES","SWITCH","MERCUSYS"
"MC-MW300D","MERCUSYS 300MBPS WIRELESS ADSL2+MODEM",388.5700,0.00,"MOD","MODEMS/ROUTERS","ROUTER","MERCUSYS"
"MC-MW300RE","MERCUSYS 300MBPS WI-FI RANGE EXTENDER",278.5700,0.00,"NC","NETWORK DEVICES","EXTEND","MERCUSYS"
"MC-MW300UM","MERCUSYS N300 WIRELESS MINI USB ADAPTER",137.1400,0.00,"NC","NETWORK DEVICES","WADA","MERCUSYS"
"MC-MW301R","MERCUSYS 300MBPS WIRELESS N ROUTER",237.0700,0.00,"MOD","MODEMS/ROUTERS","ROUTER","MERCUSYS"
"MC-MW305R","MERCUSYS 300MBPS WIRELESS N ROUTER",227.5700,0.00,"MOD","MODEMS/ROUTERS","ROUTER","MERCUSYS"
"MC-MW325R","MERCUSYS 300MBPS WIRELESS N ROUTER",330.0000,0.00,"MOD","MODEMS/ROUTERS","ROUTER","MERCUSYS"
"MC220","CUDY FIBRE TO GIGABIT ETHERNET MEDIA CON",232.8600,0.00,"NC","NETWORK DEVICES","ETH","CUDY"
"MC4","MC4 CONNECTOR",115.0000,2.00,"ADA","ADAPTORS","ADA","MLINK"
"MCB-B311L-KGNN-S02","MASTERBOX MB311L MATX; MITX; ARGB; TG PA",1186.2500,0.00,"CS","CASES","","COOLERMASTER"
